configuration_id,component_count,components,system_voltage_v,analysis_period_min,active_duration_min,sleep_duration_min,peak_duration_min,avg_active_current_ma,avg_sleep_current_ma,avg_peak_current_ma,calculated_energy_mwh,target_energy_mwh
202,3,Raspberry Pi Pico + BMP280 + DHT22 / AM2302,3.3,720,62.1674,657.7942,0.0384,0.834247,0.433367,0.845617,55.598647,54.068141
203,3,HC-05 + nRF24L01+ + DS18B20,3.3,1440,444.2051,961.5163,34.2786,14.1,0.00055,5.0,1075.873368,1070.350822
204,4,DHT22 / AM2302 + MPU6050 + Arduino Uno / ATmega328P + ESP32,3.3,60,25.4244,33.9333,0.6423,7.57,0.004535,60.625,50.942004,49.863785
205,2,ESP32-S3 + Raspberry Pi Pico,3.3,360,44.669,299.8459,15.4851,45.85,0.6535,177.5,549.188699,541.783302
206,1,MPU6050,3.3,120,9.6478,108.2079,2.1442,3.9,0.01,0.0,2.128978,2.141645
207,4,Raspberry Pi Pico + MPU6050 + HC-SR04 + SSD1306 OLED controller,3.3,720,78.5316,637.3167,4.1518,4.725,0.33,0.0,161.278676,154.021833
208,1,BMP280,3.3,30,15.5643,13.3043,1.1314,0.00274,0.0001,0.03685,0.004712,0.004833
209,3,BME280 + BMP280 + Raspberry Pi Pico,3.3,60,13.6899,43.4642,2.8459,0.000913,0.433367,0.012283,3.115757,3.150625
210,2,SSD1306 OLED controller + BME280,3.3,60,35.2949,23.2092,1.4959,0.0,0.005,0.0,0.012765,0.012787
211,4,HC-SR501 + HC-SR04 + HC-05 + DHT22 / AM2302,3.3,60,6.4084,50.9932,2.5984,28.125,0.0,0.625,42.732531,41.876776
212,1,HC-SR501,3.3,120,32.9722,84.4387,2.5891,65.0,0.0,0.0,117.87554,118.035819
213,2,SSD1306 OLED controller + BME280,3.3,720,166.3879,537.3744,16.2377,0.0,0.005,0.0,0.295556,0.304522
214,2,BMP280 + MPU6050,3.3,360,127.771,226.4561,5.7729,1.95137,0.00505,0.018425,27.563633,27.99059
215,1,MPU6050,3.3,360,50.8804,296.1036,13.016,3.9,0.01,0.0,11.076703,11.098283
216,1,SSD1306 OLED controller,3.3,60,21.5682,36.1652,2.2666,0.0,0.01,0.0,0.019891,0.019845
217,3,BME280 + INA219 + HC-05,3.3,30,2.3675,26.2142,1.4183,10.0,0.0,0.0,3.906381,3.877088
218,3,ESP32-S3 + INA219 + SSD1306 OLED controller,3.3,30,2.1359,26.8434,1.0206,30.566667,0.005667,118.333333,30.725493,30.948989
219,1,ESP32,3.3,120,62.2416,54.7799,2.9785,23.88,0.00814,240.0,121.088897,123.016241
220,3,MPU6050 + ESP32 + HC-SR501,3.3,60,31.9992,26.8816,1.1192,30.926667,0.006047,80.0,178.088734,181.024347
221,1,DHT22 / AM2302,3.3,720,342.8635,359.2592,17.8773,2.5,0.0,2.5,49.601858,49.857447
222,1,Arduino Uno / ATmega328P,5.0,1440,835.1553,543.2385,61.6062,0.0,0.0,0.0,0.0,0.0
223,4,HC-SR501 + INA219 + HC-SR04 + SSD1306 OLED controller,3.3,120,37.7964,78.8172,3.3864,20.0,0.0025,0.0,182.410952,173.360784
224,4,SSD1306 OLED controller + HC-SR501 + HC-SR04 + BMP280,3.3,120,13.8143,101.4172,4.7685,20.000685,0.002525,0.009213,66.722272,65.821369
225,1,DHT22 / AM2302,3.3,720,382.2364,336.9007,0.8629,2.5,0.0,2.5,52.676154,53.072325
226,2,BMP280 + HC-SR04,4.15,720,100.7031,595.237,24.0599,7.50137,5e-05,0.018425,125.946105,125.890064
227,4,HC-SR04 + HC-SR501 + ESP32 + ESP32-S3,3.3,1440,182.5819,1243.8479,13.5701,48.895,0.003785,148.75,2486.731834,2393.330745
228,1,Raspberry Pi Pico,3.3,30,17.1308,12.2617,0.6075,0.0,1.3,0.0,0.876714,0.883937
229,2,Arduino Uno / ATmega328P + INA219,4.15,360,190.539,158.0448,11.4162,0.0,0.0,0.0,0.0,0.0
230,3,BMP280 + MPU6050 + ESP32-S3,3.3,360,214.7215,128.0218,17.2567,31.86758,0.0057,118.345617,1466.131215,1475.715124
231,1,HC-05,3.3,360,196.7919,162.3961,0.8121,30.0,0.0,0.0,324.706556,328.35803
232,2,HC-05 + SSD1306 OLED controller,3.3,30,2.4871,26.2608,1.2521,15.0,0.005,0.0,4.118161,4.156557
233,3,BMP280 + ESP32 + INA219,3.3,720,212.2264,505.5014,2.2722,7.960913,0.002747,80.012283,308.997059,298.285928
234,2,DHT22 / AM2302 + BME280,3.3,60,12.4396,44.6673,2.8931,1.25,0.0,1.25,2.108244,2.164265
235,3,nRF24L01+ + HC-05 + ESP32-S3,3.3,30,15.3956,13.1894,1.4151,44.333333,0.002633,122.833333,141.304195,141.235529
236,4,nRF24L01+ + DHT22 / AM2302 + HC-SR501 + HC-05,3.3,1440,841.6686,547.583,50.7484,27.2,0.000225,4.0,5081.23071,4789.867356
237,2,SSD1306 OLED controller + BMP280,3.3,60,15.9197,43.811,0.2693,0.00137,0.00505,0.018425,0.027282,0.026689
238,2,HC-SR04 + nRF24L01+,4.15,120,67.4252,48.9015,3.6733,13.15,0.00045,6.75,128.916083,127.517194
239,2,SSD1306 OLED controller + Raspberry Pi Pico,3.3,60,10.2172,48.2355,1.5473,0.0,0.655,0.0,3.475367,3.515372
240,4,SSD1306 OLED controller + Arduino Uno / ATmega328P + HC-05 + ESP32,3.3,30,2.5449,27.1624,0.2927,13.47,0.004535,60.0,11.432176,11.591007
241,2,SSD1306 OLED controller + Arduino Uno / ATmega328P,4.15,360,57.9697,287.6198,14.4105,0.0,0.005,0.0,0.158191,0.165245
242,3,SSD1306 OLED controller + HC-SR501 + DS18B20,4.15,120,11.9782,106.6662,1.3556,22.0,0.003583,0.5,55.085036,56.181768
243,3,MPU6050 + nRF24L01+ + SSD1306 OLED controller,3.3,30,4.5163,25.0026,0.4811,5.066667,0.006967,4.5,4.161622,4.176713
244,3,Raspberry Pi Pico + BME280 + DS18B20,4.15,60,26.8229,32.6705,0.5066,0.333333,0.433583,0.5,5.238232,5.209848
245,4,Raspberry Pi Pico + ESP32-S3 + HC-SR501 + HC-05,3.3,30,8.705,19.8028,1.4922,46.675,0.32675,88.75,119.946595,116.954365
246,3,BMP280 + BME280 + INA219,3.3,30,11.2838,18.3743,0.342,0.000913,3.3e-05,0.012283,0.002495,0.002487
247,3,HC-SR501 + BME280 + ESP32,3.3,120,37.387,82.251,0.362,29.626667,0.002713,80.0,187.577818,189.49073
248,4,HC-05 + HC-SR501 + SSD1306 OLED controller + nRF24L01+,3.3,360,187.5333,161.1075,11.3592,26.575,0.002725,3.375,1104.944462,1144.398015
249,2,DS18B20 + nRF24L01+,4.15,1440,365.7626,1043.6316,30.6059,6.15,0.000825,7.5,284.469137,290.093395
250,4,DHT22 / AM2302 + ESP32 + nRF24L01+ + BMP280,3.3,60,27.5917,32.0148,0.3935,9.420685,0.002285,64.009213,62.742138,64.153892
251,2,HC-SR501 + ESP32-S3,3.3,60,11.9954,47.6725,0.3322,78.35,0.0035,177.5,109.885989,106.683609
252,4,BME280 + Arduino Uno / ATmega328P + DS18B20 + Raspberry Pi Pico,5.0,360,192.7995,153.5107,13.6898,0.25,0.325188,0.375,34.417772,34.953043
253,4,nRF24L01+ + Raspberry Pi Pico + MPU6050 + DS18B20,3.3,120,26.35,92.8864,0.7637,4.05,0.327912,3.75,31.589763,31.196445
254,2,HC-05 + nRF24L01+,3.3,30,9.4385,19.3882,1.1733,20.65,0.00045,6.75,22.311771,21.798562
255,1,SSD1306 OLED controller,3.3,60,30.0784,29.1994,0.7223,0.0,0.01,0.0,0.01606,0.016485
256,2,BME280 + Raspberry Pi Pico,3.3,120,31.876,86.6785,1.4456,0.0,0.65,0.0,6.197511,6.192165
257,1,DHT22 / AM2302,3.3,60,7.3194,51.3642,1.3165,2.5,0.0,2.5,1.187429,1.208698
258,2,SSD1306 OLED controller + MPU6050,3.3,60,28.1841,29.0259,2.79,1.95,0.01,0.0,6.077425,6.236899
259,3,HC-SR501 + INA219 + ESP32,3.3,120,64.7254,49.8229,5.4516,29.626667,0.002713,80.0,388.387943,385.090819
260,3,nRF24L01+ + BMP280 + DHT22 / AM2302,3.3,30,9.3738,19.8847,0.7415,4.600913,0.000333,5.345617,7.771226,7.857543
261,2,HC-SR04 + nRF24L01+,4.15,360,39.5141,316.4327,4.0532,13.15,0.00045,6.75,76.975813,78.129254
262,4,nRF24L01+ + ESP32 + BME280 + HC-05,3.3,1440,320.9636,1090.1168,28.9196,16.295,0.00226,63.375,1554.376358,1551.113469
263,4,HC-SR04 + BMP280 + INA219 + HC-SR501,3.3,360,51.6204,304.8663,3.5133,20.000685,2.5e-05,0.009213,249.084982,245.476525
264,2,HC-SR501 + BME280,3.3,120,61.052,54.86,4.088,32.5,0.0,0.0,218.260824,215.080282
265,3,Arduino Uno / ATmega328P + Raspberry Pi Pico + SSD1306 OLED controller,4.15,1440,182.9239,1208.2811,48.795,0.0,0.436667,0.0,109.309163,106.801978
266,4,MPU6050 + DHT22 / AM2302 + INA219 + Arduino Uno / ATmega328P,3.3,60,17.1886,41.5139,1.2975,1.6,0.0025,0.625,6.251626,6.254768
267,4,DS18B20 + HC-SR501 + HC-05 + HC-SR04,5.0,1440,75.4102,1323.4658,41.1241,27.75,0.000188,0.375,638.668687,610.386044
268,1,INA219,3.3,30,4.932,24.2897,0.7784,0.0,0.0,0.0,0.0,0.0
269,4,SSD1306 OLED controller + BME280 + ESP32-S3 + MPU6050,3.3,60,9.4514,49.3185,1.2301,23.9,0.00675,88.75,73.787109,71.741077
270,1,nRF24L01+,3.3,1440,580.6639,809.6271,49.7089,11.3,0.0009,13.5,397.831589,400.838965
271,1,BMP280,3.3,360,200.8227,154.7515,4.4258,0.00274,0.0001,0.03685,0.040085,0.039229
272,2,ESP32-S3 + nRF24L01+,3.3,30,9.2258,20.4733,0.3008,51.5,0.00395,184.25,58.370506,58.005859
273,2,Arduino Uno / ATmega328P + BMP280,4.15,60,32.951,24.6409,2.4082,0.00137,5e-05,0.018425,0.009982,0.01004
274,4,BME280 + ESP32-S3 + HC-SR04 + Arduino Uno / ATmega328P,4.15,1440,390.4219,1033.4005,16.1776,26.675,0.00175,88.75,2773.386274,2674.820867
275,3,Arduino Uno / ATmega328P + ESP32 + MPU6050,3.3,720,346.0305,366.3759,7.5936,9.26,0.006047,80.0,629.301538,631.723356
276,3,nRF24L01+ + HC-SR04 + Arduino Uno / ATmega328P,5.0,60,4.6677,52.73,2.6023,8.766667,0.0003,4.5,10.670373,10.410043
277,1,DS18B20,5.0,360,43.4021,302.5428,14.0551,1.0,0.00075,1.5,5.392634,5.509602
278,4,DS18B20 + BMP280 + INA219 + ESP32-S3,3.3,360,165.4646,179.7662,14.7691,23.175685,0.001962,89.134213,1138.658906,1083.681998
279,2,BME280 + ESP32-S3,3.3,60,19.6741,38.5779,1.7479,45.85,0.0035,177.5,133.369762,132.893219
280,3,HC-05 + nRF24L01+ + BME280,3.3,60,27.3053,30.6608,2.0339,13.766667,0.0003,4.5,63.535612,63.235157
281,4,nRF24L01+ + DHT22 / AM2302 + Raspberry Pi Pico + BMP280,3.3,720,425.7374,281.5888,12.6738,3.450685,0.32525,4.009213,354.526558,353.798629
282,4,ESP32 + BMP280 + BME280 + HC-SR04,3.3,120,63.7856,54.5101,1.7043,9.720685,0.00206,60.009212,186.042582,183.442896
283,3,DHT22 / AM2302 + BME280 + HC-SR501,3.3,720,340.9965,366.8767,12.1268,22.5,0.0,0.833333,1267.616846,1292.678439
284,2,DHT22 / AM2302 + DS18B20,4.15,720,45.6825,666.3918,7.9257,1.75,0.000375,2.0,12.210368,11.959955
285,2,DS18B20 + HC-SR04,5.0,120,28.9862,85.8232,5.1906,8.0,0.000375,0.75,39.302467,39.497366
286,1,SSD1306 OLED controller,3.3,120,68.3798,51.3149,0.3053,0.0,0.01,0.0,0.028223,0.027336
287,3,nRF24L01+ + Arduino Uno / ATmega328P + BME280,3.3,60,20.5327,37.1295,2.3378,3.766667,0.0003,4.5,14.49871,15.187285
288,1,nRF24L01+,3.3,60,3.897,53.2274,2.8755,11.3,0.0009,13.5,4.55972,4.514724
289,1,DS18B20,5.0,120,41.0865,76.0567,2.8568,1.0,0.00075,1.5,3.785725,3.751393
290,3,HC-SR501 + DHT22 / AM2302 + ESP32,3.3,1440,714.9079,699.9235,25.1686,30.46,0.002713,80.833333,3929.054796,3979.424549
291,1,Raspberry Pi Pico,3.3,60,32.7955,24.4388,2.7657,0.0,1.3,0.0,1.747378,1.72891
292,4,Raspberry Pi Pico + DHT22 / AM2302 + Arduino Uno / ATmega328P + DS18B20,5.0,30,2.6765,25.8387,1.4847,0.875,0.325188,1.0,3.781621,3.866885
293,1,ESP32-S3,3.3,360,132.8876,213.1729,13.9395,91.7,0.007,355.0,942.469422,943.176712
294,4,DHT22 / AM2302 + INA219 + DS18B20 + nRF24L01+,3.3,720,213.1675,494.3742,12.4583,3.7,0.000412,4.375,192.134075,186.876002
295,1,Raspberry Pi Pico,3.3,120,23.2064,95.8724,0.9212,0.0,1.3,0.0,6.854874,7.057421
296,4,DS18B20 + HC-05 + INA219 + DHT22 / AM2302,3.3,1440,133.5738,1251.3445,55.0818,8.375,0.000188,1.0,264.431443,261.830774
297,4,MPU6050 + DS18B20 + Raspberry Pi Pico + BME280,3.3,1440,301.5486,1098.5428,39.9086,1.225,0.327688,0.375,174.018469,179.969706
298,3,MPU6050 + Raspberry Pi Pico + HC-SR501,3.3,30,12.9434,16.0445,1.0121,22.966667,0.436667,0.0,50.205085,49.572418
299,3,HC-05 + BMP280 + ESP32,3.3,120,20.6763,96.6779,2.6458,17.960913,0.002747,80.012283,96.248631,101.656974
300,1,nRF24L01+,3.3,60,30.3817,27.9809,1.6374,11.3,0.0009,13.5,20.099407,20.128357
301,4,MPU6050 + HC-SR04 + ESP32-S3 + BMP280,3.3,1440,490.6968,905.9594,43.3438,27.650685,0.004275,88.759213,4040.755762,4158.936171
302,2,BME280 + ESP32-S3,3.3,360,113.3551,230.0545,16.5903,45.85,0.0035,177.5,895.72138,908.042227
303,3,BME280 + BMP280 + INA219,3.3,360,60.9494,297.3372,1.7134,0.000913,3.3e-05,0.012283,0.014293,0.014291
304,1,DS18B20,5.0,120,56.77,58.8292,4.4008,1.0,0.00075,1.5,5.284611,5.250187
305,1,HC-SR501,3.3,1440,817.3324,610.6173,12.0503,65.0,0.0,0.0,2921.963393,2919.642987
306,1,Raspberry Pi Pico,3.3,60,24.1715,34.5917,1.2368,0.0,1.3,0.0,2.473307,2.477875
307,1,Arduino Uno / ATmega328P,5.0,60,19.5069,38.2248,2.2683,0.0,0.0,0.0,0.0,0.0
308,4,SSD1306 OLED controller + Arduino Uno / ATmega328P + DHT22 / AM2302 + nRF24L01+,3.3,60,11.6748,46.5779,1.7473,3.45,0.002725,4.0,10.426716,10.565256
309,1,BME280,3.3,30,12.0439,16.6661,1.29,0.0,0.0,0.0,0.0,0.0
310,3,DHT22 / AM2302 + MPU6050 + Raspberry Pi Pico,3.3,720,156.068,548.0989,15.8331,2.133333,0.436667,0.833333,96.603521,99.615264
311,2,INA219 + BME280,3.3,360,71.2878,282.9369,5.7753,0.0,0.0,0.0,0.0,0.0
312,4,BME280 + ESP32 + HC-SR04 + Raspberry Pi Pico,3.3,120,55.4455,62.5532,2.0013,9.72,0.327035,60.0,173.046694,171.014015
313,3,ESP32-S3 + Raspberry Pi Pico + BMP280,3.3,1440,252.4713,1132.8562,54.6726,30.56758,0.4357,118.345617,2422.411105,2368.231176
314,2,Raspberry Pi Pico + ESP32,3.3,60,8.841,49.1913,1.9676,11.94,0.65407,120.0,41.123599,40.877402
315,3,ESP32 + INA219 + BME280,3.3,720,372.1217,342.284,5.5943,7.96,0.002713,80.0,562.742562,547.019962
316,1,Arduino Uno / ATmega328P,5.0,120,35.2282,84.341,0.4308,0.0,0.0,0.0,0.0,0.0
317,3,ESP32 + nRF24L01+ + ESP32-S3,3.3,360,126.7997,230.4996,2.7007,42.293333,0.005347,202.833333,975.448712,992.459257
318,4,HC-05 + ESP32-S3 + HC-SR501 + DS18B20,3.3,1440,463.2984,955.082,21.6196,46.925,0.001937,89.125,5221.239653,5410.13518
319,4,DS18B20 + Arduino Uno / ATmega328P + nRF24L01+ + DHT22 / AM2302,4.15,120,7.2169,110.148,2.6351,3.7,0.000412,4.375,8.739614,8.786238
320,3,Arduino Uno / ATmega328P + HC-SR501 + DS18B20,5.0,720,317.8355,398.4638,3.7007,22.0,0.00025,0.5,1748.582772,1721.193675
321,3,DS18B20 + Arduino Uno / ATmega328P + HC-SR04,5.0,1440,432.2764,977.9207,29.803,5.333333,0.00025,0.5,580.154981,574.93393
322,1,Raspberry Pi Pico,3.3,720,402.5719,310.1795,7.2485,0.0,1.3,0.0,22.177837,22.445274
323,3,ESP32 + INA219 + DHT22 / AM2302,3.3,360,169.0778,173.4586,17.4636,8.793333,0.002713,80.833333,478.31381,482.479525
324,1,Arduino Uno / ATmega328P,5.0,1440,507.8562,926.5165,5.6272,0.0,0.0,0.0,0.0,0.0
325,1,DS18B20,5.0,1440,402.4649,996.3625,41.1726,1.0,0.00075,1.5,38.747589,38.501707
326,3,BME280 + HC-05 + HC-SR501,3.3,720,372.1955,330.7957,17.0089,31.666667,0.0,0.0,1944.721254,1942.57809
327,3,BME280 + SSD1306 OLED controller + DHT22 / AM2302,3.3,30,4.3843,25.2863,0.3294,0.833333,0.003333,0.833333,0.66204,0.656696
328,2,HC-SR501 + BME280,3.3,720,121.2365,567.8193,30.9442,32.5,0.0,0.0,433.420574,433.131962
329,1,SSD1306 OLED controller,3.3,720,280.9896,405.6503,33.3601,0.0,0.01,0.0,0.223108,0.223531
330,1,ESP32-S3,3.3,720,426.9758,287.6027,5.4215,91.7,0.007,355.0,2259.418698,2177.950558
331,3,SSD1306 OLED controller + MPU6050 + HC-SR501,3.3,120,55.7489,62.5404,1.7107,22.966667,0.006667,0.0,211.329118,203.821024
332,2,ESP32 + SSD1306 OLED controller,3.3,360,184.8609,167.1041,8.035,11.94,0.00907,120.0,349.025208,340.62978
333,2,Raspberry Pi Pico + DS18B20,5.0,120,38.2915,80.8587,0.8498,0.5,0.650375,0.75,12.06193,12.004966
334,4,HC-SR501 + ESP32 + Raspberry Pi Pico + ESP32-S3,3.3,30,8.7778,20.6007,0.6215,45.145,0.328785,148.75,109.009704,108.495539
335,2,BMP280 + Arduino Uno / ATmega328P,4.15,720,183.9923,512.5596,23.4481,0.00137,5e-05,0.018425,0.07807,0.075114
336,3,ESP32 + BMP280 + MPU6050,3.3,120,32.0088,83.1294,4.8618,9.260913,0.00608,80.012283,113.180205,113.250483
337,4,BME280 + HC-SR501 + Raspberry Pi Pico + BMP280,3.3,720,202.8269,513.5627,3.6103,16.250685,0.325025,0.009213,761.866719,767.820327
338,2,BME280 + nRF24L01+,3.3,30,11.4227,17.4316,1.1458,5.65,0.00045,6.75,7.950772,8.013107
339,4,DS18B20 + BMP280 + HC-SR501 + DHT22 / AM2302,3.3,720,212.1954,488.1131,19.6916,17.125685,0.000213,1.009213,810.732309,814.81604
340,1,nRF24L01+,3.3,120,71.1847,48.7179,0.0974,11.3,0.0009,13.5,44.316029,43.331388
341,1,SSD1306 OLED controller,3.3,360,113.0001,229.3951,17.6048,0.0,0.01,0.0,0.126167,0.12783
342,2,ESP32-S3 + ESP32,3.3,30,17.0994,12.5019,0.3987,57.79,0.00757,297.5,121.757337,121.688951
343,1,ESP32-S3,3.3,360,202.1609,148.7957,9.0434,91.7,0.007,355.0,1196.228796,1177.328707
344,2,INA219 + Arduino Uno / ATmega328P,4.15,360,188.1871,163.7444,8.0685,0.0,0.0,0.0,0.0,0.0
345,2,SSD1306 OLED controller + nRF24L01+,3.3,60,35.2254,24.2152,0.5594,5.65,0.00545,6.75,22.32249,22.616917
346,3,Raspberry Pi Pico + BMP280 + ESP32,3.3,60,25.4412,34.0149,0.544,7.960913,0.43608,80.012283,43.047156,42.191639
347,2,HC-SR04 + Arduino Uno / ATmega328P,5.0,120,53.3056,63.8953,2.7991,7.5,0.0,0.0,66.632019,64.794109
348,2,SSD1306 OLED controller + ESP32-S3,3.3,360,60.3385,283.4599,16.2016,45.85,0.0085,177.5,620.919353,606.974037
349,3,BME280 + ESP32 + HC-SR04,3.3,1440,663.7118,766.8741,9.4141,12.96,0.002713,80.0,1825.96871,1847.263454
350,1,INA219,3.3,1440,552.3734,836.4807,51.1459,0.0,0.0,0.0,0.0,0.0
351,3,MPU6050 + SSD1306 OLED controller + BMP280,3.3,30,10.2986,19.4345,0.2669,1.300913,0.0067,0.012283,2.232632,2.275702
352,3,DHT22 / AM2302 + ESP32 + ESP32-S3,3.3,60,4.3055,55.3698,0.3247,39.36,0.005047,199.166667,38.679702,37.149727
353,2,SSD1306 OLED controller + Arduino Uno / ATmega328P,4.15,120,18.7342,98.9941,2.2717,0.0,0.005,0.0,0.054447,0.054505
354,2,MPU6050 + INA219,3.3,60,5.9611,53.9633,0.0756,1.95,0.005,0.0,1.308343,1.278155
355,2,HC-05 + HC-SR501,3.3,120,39.2785,77.5306,3.1909,47.5,0.0,0.0,205.230045,202.646837
356,4,HC-05 + ESP32 + nRF24L01+ + INA219,3.3,1440,416.0046,968.7804,55.215,16.295,0.00226,63.375,2261.652292,2297.146153
357,4,HC-SR04 + ESP32 + INA219 + Arduino Uno / ATmega328P,4.15,120,12.1559,103.9067,3.9374,9.72,0.002035,60.0,83.180289,84.464384
358,4,HC-SR501 + INA219 + HC-05 + nRF24L01+,3.3,1440,149.5236,1270.6099,19.8665,26.575,0.000225,3.375,889.003265,895.945579
359,4,BME280 + ESP32 + BMP280 + HC-SR501,3.3,1440,768.4941,652.0414,19.4645,22.220685,0.00206,60.009212,4014.089349,4031.357812
360,2,SSD1306 OLED controller + BMP280,3.3,60,19.5829,39.1639,1.2532,0.00137,0.00505,0.018425,0.027247,0.027284
361,2,ESP32 + HC-SR04,4.15,720,260.0529,445.0644,14.8827,19.44,0.00407,120.0,863.270526,881.717962
362,2,INA219 + Arduino Uno / ATmega328P,4.15,1440,693.4998,676.8335,69.6667,0.0,0.0,0.0,0.0,0.0
363,1,Raspberry Pi Pico,3.3,1440,206.623,1174.4646,58.9124,0.0,1.3,0.0,83.974222,86.088886
364,3,DHT22 / AM2302 + Arduino Uno / ATmega328P + Raspberry Pi Pico,4.15,30,10.8037,18.1147,1.0816,0.833333,0.433333,0.833333,3.263042,3.217734
365,2,HC-SR501 + Raspberry Pi Pico,3.3,30,9.952,19.6602,0.3878,32.5,0.65,0.0,36.984133,37.525206
366,1,MPU6050,3.3,30,16.9613,11.6966,1.3421,3.9,0.01,0.0,3.644642,3.688448
367,2,DHT22 / AM2302 + ESP32-S3,3.3,120,35.2153,83.847,0.9377,47.1,0.0035,178.75,200.921204,197.127998
368,3,nRF24L01+ + DS18B20 + INA219,3.3,1440,454.0418,919.5485,66.4097,4.1,0.00055,5.0,377.73724,387.159604
369,4,INA219 + ESP32-S3 + HC-SR04 + DS18B20,4.15,60,17.9309,40.8207,1.2485,26.925,0.001937,89.125,138.89309,135.513533
370,2,HC-SR04 + INA219,4.15,60,26.274,33.5245,0.2015,7.5,0.0,0.0,32.842487,33.238572
371,1,DS18B20,5.0,30,12.3151,17.5439,0.141,1.0,0.00075,1.5,1.044982,1.024033
372,2,nRF24L01+ + SSD1306 OLED controller,3.3,1440,180.0847,1236.8637,23.0516,5.65,0.00545,6.75,129.779933,134.99949
373,4,DHT22 / AM2302 + BME280 + SSD1306 OLED controller + BMP280,3.3,360,94.4124,262.0423,3.5453,0.625685,0.002525,0.634212,13.63616,13.586986
374,2,DS18B20 + DHT22 / AM2302,4.15,120,28.7953,88.0013,3.2034,1.75,0.000375,2.0,7.205364,7.179878
375,1,MPU6050,3.3,60,34.8847,23.5494,1.5659,3.9,0.01,0.0,7.495717,7.427333
376,3,MPU6050 + INA219 + nRF24L01+,3.3,120,52.089,61.9907,5.9203,5.066667,0.003633,4.5,47.979381,49.218868
377,1,ESP32-S3,3.3,120,14.3532,101.1377,4.5091,91.7,0.007,355.0,160.469871,160.155113
378,3,ESP32-S3 + HC-05 + SSD1306 OLED controller,3.3,360,139.263,207.1547,13.5823,40.566667,0.005667,118.333333,1197.544225,1178.52618
379,3,BME280 + ESP32 + nRF24L01+,3.3,720,376.697,319.9607,23.3423,11.726667,0.003013,84.5,1054.480307,1064.710491
380,1,ESP32,3.3,60,14.1878,43.7009,2.1113,23.88,0.00814,240.0,46.523391,45.664123
381,3,ESP32-S3 + BMP280 + INA219,3.3,30,6.3231,22.2188,1.4581,30.56758,0.002367,118.345617,60.372849,59.399646
382,1,HC-SR501,3.3,360,78.9104,275.7053,5.3843,65.0,0.0,0.0,282.104823,278.603797
383,1,HC-05,3.3,360,18.9618,327.9073,13.1309,30.0,0.0,0.0,31.286892,30.638264
384,1,DHT22 / AM2302,3.3,720,222.7695,479.7329,17.4976,2.5,0.0,2.5,33.036732,33.719791
385,1,DHT22 / AM2302,3.3,720,206.7358,491.7302,21.534,2.5,0.0,2.5,31.387101,31.732939
386,3,INA219 + SSD1306 OLED controller + HC-SR501,3.3,120,17.9266,99.9607,2.1127,21.666667,0.003333,0.0,64.142605,65.155246
387,2,Raspberry Pi Pico + ESP32-S3,3.3,720,400.0213,318.8054,1.1733,45.85,0.6535,177.5,2063.333733,2018.334601
388,2,ESP32 + BMP280,3.3,30,5.835,22.6859,1.479,11.94137,0.00412,120.018425,27.201287,26.505974
389,1,Raspberry Pi Pico,3.3,30,9.717,19.4124,0.8707,0.0,1.3,0.0,1.387985,1.388355
390,3,BME280 + nRF24L01+ + DHT22 / AM2302,3.3,120,51.5243,63.2663,5.2094,4.6,0.0003,5.333333,43.69435,45.684567
391,3,DS18B20 + ESP32-S3 + HC-SR04,5.0,720,324.2408,385.389,10.3702,35.9,0.002583,118.833333,2271.575837,2324.50103
392,1,ESP32,3.3,30,15.732,13.0147,1.2533,23.88,0.00814,240.0,37.211784,36.834159
393,2,INA219 + ESP32,3.3,360,64.4713,285.6598,9.8689,11.94,0.00407,120.0,215.074224,216.663012
394,4,HC-SR04 + SSD1306 OLED controller + HC-05 + Arduino Uno / ATmega328P,4.15,1440,190.9026,1189.2867,59.8107,11.25,0.0025,0.0,554.271674,557.367187
395,2,BMP280 + ESP32-S3,3.3,30,12.806,16.799,0.395,45.85137,0.00355,177.518425,72.308464,72.894137
396,3,BME280 + ESP32 + MPU6050,3.3,120,27.5753,90.5918,1.8329,9.26,0.006047,80.0,66.416735,66.432299
397,4,Raspberry Pi Pico + ESP32 + DHT22 / AM2302 + SSD1306 OLED controller,3.3,360,155.3841,189.3579,15.258,6.595,0.329535,60.625,442.678397,428.933166
398,1,BMP280,3.3,30,1.6422,28.2869,0.0709,0.00274,0.0001,0.03685,0.000547,0.000548
399,1,BME280,3.3,60,27.6863,32.0981,0.2156,0.0,0.0,0.0,0.0,0.0
400,1,MPU6050,3.3,720,178.2449,541.3614,0.3936,3.9,0.01,0.0,38.531289,39.156833
401,1,BME280,3.3,1440,222.0771,1209.0002,8.9227,0.0,0.0,0.0,0.0,0.0
402,2,BME280 + HC-SR501,3.3,720,334.217,353.6515,32.1315,32.5,0.0,0.0,1194.825833,1166.50405
403,1,Arduino Uno / ATmega328P,5.0,360,76.8876,277.1763,5.9361,0.0,0.0,0.0,0.0,0.0
404,3,DS18B20 + HC-SR04 + INA219,5.0,120,41.4709,75.6064,2.9227,5.333333,0.00025,0.5,55.664568,57.31235
405,2,Arduino Uno / ATmega328P + BME280,4.15,30,16.8691,12.9451,0.1858,0.0,0.0,0.0,0.0,0.0
406,1,nRF24L01+,3.3,720,74.3861,613.2039,32.41,11.3,0.0009,13.5,70.325735,66.894895
